,TERTIAIRE,INDUSTRIE,AGRICULTURE,INCONNU,departement,year
481,275233.287,290085.993,17995.88,49.088,12,2023
482,3051432.059,1158326.639,68895.697,654.0,13,2023
483,913105.24,856252.806,21718.223,505.86600000000004,14,2023
484,136808.33,154383.821,3496.804,0.0,15,2023
485,394913.386,443980.015,33541.64,10.393,16,2023
486,789642.646,310199.109,64980.745,221.771,17,2023
487,364072.054,277581.935,30782.03,73.291,18,2023
488,297732.245,275789.44299999997,1342.415,238.692,19,2023
489,735066.176,622631.656,17759.128,110.52799999999999,21,2023
490,676225.146,779040.437,182402.489,44.574,22,2023
491,86723.954,92590.97200000001,3561.572,0.0,23,2023
492,438379.01,290511.787,30786.811999999998,224.873,24,2023
493,577854.603,727049.967,10915.641,38.827,25,2023
494,709480.841,676677.031,51447.403,105.05000000000001,26,2023
495,683325.424,804250.008,22355.223,136.37199999999999,27,2023
496,353060.937,425611.819,70683.872,97.2,28,2023
497,1040968.466,860247.506,241449.806,330.61,29,2023
498,766773.191,437398.691,29909.602,376.402,30,2023
499,1996090.771,749593.355,12569.452,254.454,31,2023
500,223865.973,113681.28199999999,48781.078,9.452,32,2023
501,2218615.457,854316.219,165555.005,199.201,33,2023
502,1481145.48,393218.442,32372.927,91.762,34,2023
503,1406904.752,1376703.699,67568.034,46.982000000000006,35,2023
504,227344.69,351666.028,12475.393,9.15,36,2023
505,740621.821,441021.376,79580.528,27.869,37,2023
506,1444900.577,1491055.032,22925.627,387.121,38,2023
507,239562.184,475619.481,7125.11,35.051,39,2023
